Temp(C),Vt(mV),Rteo(Ohm)
0.000,4605.343,674.579
1.010,4594.603,642.172
2.020,4598.302,611.543
3.030,4668.050,582.583
4.040,4593.421,555.191
5.051,4570.695,529.271
6.061,4473.983,504.737
7.071,4471.662,481.504
8.081,4605.451,459.496
9.091,4468.258,438.641
10.101,4382.902,418.872
11.111,4388.642,400.124
12.121,4449.328,382.340
13.131,4404.605,365.463
14.141,4346.879,349.442
15.152,4340.299,334.228
16.162,4294.085,319.776
17.172,4344.578,306.043
18.182,4246.395,292.990
19.192,4271.663,280.577
20.202,4222.470,268.770
21.212,4188.276,257.536
22.222,4108.567,246.844
23.232,4110.672,236.664
24.242,4108.618,226.969
25.253,4093.547,217.733
26.263,3958.706,208.931
27.273,3919.513,200.540
28.283,3899.218,192.539
29.293,3945.844,184.908
30.303,3851.397,177.627
31.313,3834.798,170.679
32.323,3846.317,164.045
33.333,3775.203,157.711
34.343,3756.816,151.660
35.354,3702.706,145.879
36.364,3690.206,140.353
37.374,3661.069,135.071
38.384,3548.262,130.020
39.394,3463.438,125.189
40.404,3493.716,120.567
41.414,3491.324,116.143
42.424,3420.437,111.909
43.434,3320.516,107.854
44.444,3289.571,103.971
45.455,3303.986,100.251
46.465,3256.187,96.686
47.475,3251.837,93.269
48.485,3187.989,89.994
49.495,3118.438,86.853
50.505,3101.727,83.840
51.515,3035.313,80.949
52.525,2967.477,78.175
53.535,2963.529,75.512
54.545,2896.988,72.956
55.556,2873.473,70.501
56.566,2825.064,68.143
57.576,2784.084,65.878
58.586,2760.626,63.701
59.596,2723.042,61.608
60.606,2694.736,59.597
61.616,2588.300,57.662
62.626,2607.314,55.802
63.636,2568.443,54.012
64.646,2519.347,52.289
65.657,2471.747,50.632
66.667,2436.904,49.036
67.677,2380.796,47.500
68.687,2359.505,46.020
69.697,2304.170,44.595
70.707,2257.986,43.222
71.717,2248.799,41.899
72.727,2163.931,40.623
73.737,2159.831,39.394
74.747,2147.200,38.209
75.758,2090.602,37.066
76.768,2042.441,35.963
77.778,2003.885,34.899
78.788,1944.904,33.873
79.798,1942.750,32.882
80.808,1910.476,31.926
81.818,1888.250,31.003
82.828,1839.070,30.111
83.838,1820.778,29.250
84.848,1785.493,28.419
85.859,1731.085,27.615
86.869,1693.087,26.838
87.879,1689.477,26.088
88.889,1614.104,25.362
89.899,1633.677,24.661
90.909,1598.355,23.982
91.919,1551.816,23.326
92.929,1529.834,22.691
93.939,1472.262,22.077
94.949,1447.795,21.483
95.960,1451.921,20.908
96.970,1400.155,20.351
97.980,1377.344,19.812
98.990,1336.643,19.290
100.000,1322.495,18.785
