Temp(C),Vt(V),Rteo(Ohm)
0.000,4.624,674.579
1.010,4.587,642.172
2.020,4.596,611.543
3.030,4.640,582.583
4.040,4.575,555.191
5.051,4.516,529.271
6.061,4.512,504.737
7.071,4.501,481.504
8.081,4.452,459.496
9.091,4.490,438.641
10.101,4.502,418.872
11.111,4.544,400.124
12.121,4.419,382.340
13.131,4.362,365.463
14.141,4.409,349.442
15.152,4.334,334.228
16.162,4.319,319.776
17.172,4.303,306.043
18.182,4.176,292.990
19.192,4.162,280.577
20.202,4.201,268.770
21.212,4.179,257.536
22.222,4.104,246.844
23.232,4.124,236.664
24.242,4.107,226.969
25.253,4.049,217.733
26.263,4.043,208.931
27.273,3.909,200.540
28.283,3.940,192.539
29.293,3.897,184.908
30.303,3.856,177.627
31.313,3.877,170.679
32.323,3.794,164.045
33.333,3.801,157.711
34.343,3.734,151.660
35.354,3.713,145.879
36.364,3.716,140.353
37.374,3.619,135.071
38.384,3.620,130.020
39.394,3.510,125.189
40.404,3.442,120.567
41.414,3.433,116.143
42.424,3.381,111.909
43.434,3.311,107.854
44.444,3.342,103.971
45.455,3.324,100.251
46.465,3.253,96.686
47.475,3.224,93.269
48.485,3.214,89.994
49.495,3.141,86.853
50.505,3.088,83.840
51.515,3.062,80.949
52.525,2.992,78.175
53.535,2.968,75.512
54.545,2.909,72.956
55.556,2.870,70.501
56.566,2.794,68.143
57.576,2.786,65.878
58.586,2.749,63.701
59.596,2.712,61.608
60.606,2.642,59.597
61.616,2.657,57.662
62.626,2.623,55.802
63.636,2.585,54.012
64.646,2.522,52.289
65.657,2.482,50.632
66.667,2.430,49.036
67.677,2.388,47.500
68.687,2.416,46.020
69.697,2.281,44.595
70.707,2.271,43.222
71.717,2.242,41.899
72.727,2.227,40.623
73.737,2.201,39.394
74.747,2.109,38.209
75.758,2.070,37.066
76.768,2.069,35.963
77.778,2.012,34.899
78.788,1.959,33.873
79.798,1.952,32.882
80.808,1.930,31.926
81.818,1.915,31.003
82.828,1.812,30.111
83.838,1.790,29.250
84.848,1.775,28.419
85.859,1.723,27.615
86.869,1.688,26.838
87.879,1.676,26.088
88.889,1.628,25.362
89.899,1.595,24.661
90.909,1.589,23.982
91.919,1.574,23.326
92.929,1.518,22.691
93.939,1.494,22.077
94.949,1.466,21.483
95.960,1.434,20.908
96.970,1.420,20.351
97.980,1.403,19.812
98.990,1.374,19.290
100.000,1.313,18.785
